#,Name,Type,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
001,Bulbasaur,Grass Poison,318,45,49,49,65,65,45
002,Ivysaur,Grass Poison,405,60,62,63,80,80,60
003,Venusaur,Grass Poison,525,80,82,83,100,100,80
003,Venusaur Mega Venusaur,Grass Poison,625,80,100,123,122,120,80
004,Charmander,Fire,309,39,52,43,60,50,65
005,Charmeleon,Fire,405,58,64,58,80,65,80
006,Charizard,Fire Flying,534,78,84,78,109,85,100
006,Charizard Mega Charizard X,Fire Dragon,634,78,130,111,130,85,100
006,Charizard Mega Charizard Y,Fire Flying,634,78,104,78,159,115,100
007,Squirtle,Water,314,44,48,65,50,64,43
008,Wartortle,Water,405,59,63,80,65,80,58
009,Blastoise,Water,530,79,83,100,85,105,78
009,Blastoise Mega Blastoise,Water,630,79,103,120,135,115,78
010,Caterpie,Bug,195,45,30,35,20,20,45
011,Metapod,Bug,205,50,20,55,25,25,30
012,Butterfree,Bug Flying,395,60,45,50,90,80,70
